* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
1.51855e-07 1s 1s 1s 1s 1s 0s 0s 0s
1.52344e-07 1s 1s 1s 1s 1s 0s 0s 0s
1.52832e-07 1s 1s 1s 1s 0s 1s 1s 1s
1.5332e-07 1s 1s 1s 1s 0s 1s 1s 1s
1.53809e-07 1s 1s 1s 1s 0s 1s 1s 1s
1.54297e-07 1s 1s 1s 1s 0s 1s 1s 0s
1.54785e-07 1s 1s 1s 1s 0s 1s 1s 0s
1.55273e-07 1s 1s 1s 1s 0s 1s 1s 0s
1.55762e-07 1s 1s 1s 1s 0s 1s 1s 0s
1.5625e-07 1s 1s 1s 1s 0s 1s 0s 1s
1.56738e-07 1s 1s 1s 1s 0s 1s 0s 1s
1.57227e-07 1s 1s 1s 1s 0s 1s 0s 1s
1.57715e-07 1s 1s 1s 1s 0s 1s 0s 0s
1.58203e-07 1s 1s 1s 1s 0s 1s 0s 0s
1.58691e-07 1s 1s 1s 1s 0s 1s 0s 0s
1.5918e-07 1s 1s 1s 1s 0s 0s 1s 1s
1.59668e-07 1s 1s 1s 1s 0s 0s 1s 1s
1.60156e-07 1s 1s 1s 1s 0s 0s 1s 1s
1.60645e-07 1s 1s 1s 1s 0s 0s 1s 0s
1.61133e-07 1s 1s 1s 1s 0s 0s 1s 0s
1.61621e-07 1s 1s 1s 1s 0s 0s 1s 0s
1.62109e-07 1s 1s 1s 1s 0s 0s 0s 1s
1.62598e-07 1s 1s 1s 1s 0s 0s 0s 1s
1.63086e-07 1s 1s 1s 1s 0s 0s 0s 1s
1.63574e-07 1s 1s 1s 1s 0s 0s 0s 0s
1.64062e-07 1s 1s 1s 1s 0s 0s 0s 0s
1.64551e-07 1s 1s 1s 1s 0s 0s 0s 0s
1.65039e-07 1s 1s 1s 0s 1s 1s 1s 1s
1.65527e-07 1s 1s 1s 0s 1s 1s 1s 1s
1.66016e-07 1s 1s 1s 0s 1s 1s 1s 0s
1.66504e-07 1s 1s 1s 0s 1s 1s 1s 0s
1.66992e-07 1s 1s 1s 0s 1s 1s 1s 0s
1.6748e-07 1s 1s 1s 0s 1s 1s 0s 1s
1.67969e-07 1s 1s 1s 0s 1s 1s 0s 1s
1.68457e-07 1s 1s 1s 0s 1s 1s 0s 0s
1.68945e-07 1s 1s 1s 0s 1s 1s 0s 0s
1.69434e-07 1s 1s 1s 0s 1s 1s 0s 0s
1.69922e-07 1s 1s 1s 0s 1s 0s 1s 1s
1.7041e-07 1s 1s 1s 0s 1s 0s 1s 1s
1.70898e-07 1s 1s 1s 0s 1s 0s 1s 0s
1.71387e-07 1s 1s 1s 0s 1s 0s 1s 0s
1.71875e-07 1s 1s 1s 0s 1s 0s 1s 0s
1.72363e-07 1s 1s 1s 0s 1s 0s 0s 1s
1.72852e-07 1s 1s 1s 0s 1s 0s 0s 1s
1.7334e-07 1s 1s 1s 0s 1s 0s 0s 0s
1.73828e-07 1s 1s 1s 0s 1s 0s 0s 0s
1.74316e-07 1s 1s 1s 0s 0s 1s 1s 1s
1.74805e-07 1s 1s 1s 0s 0s 1s 1s 1s
1.75293e-07 1s 1s 1s 0s 0s 1s 1s 0s
1.75781e-07 1s 1s 1s 0s 0s 1s 1s 0s
1.7627e-07 1s 1s 1s 0s 0s 1s 0s 1s
1.76758e-07 1s 1s 1s 0s 0s 1s 0s 1s
1.77246e-07 1s 1s 1s 0s 0s 1s 0s 0s
1.77734e-07 1s 1s 1s 0s 0s 1s 0s 0s
1.78223e-07 1s 1s 1s 0s 0s 1s 0s 0s
1.78711e-07 1s 1s 1s 0s 0s 0s 1s 1s
1.79199e-07 1s 1s 1s 0s 0s 0s 1s 1s
1.79688e-07 1s 1s 1s 0s 0s 0s 1s 0s
1.80176e-07 1s 1s 1s 0s 0s 0s 1s 0s
1.80664e-07 1s 1s 1s 0s 0s 0s 0s 1s
1.81152e-07 1s 1s 1s 0s 0s 0s 0s 1s
1.81641e-07 1s 1s 1s 0s 0s 0s 0s 0s
1.82129e-07 1s 1s 1s 0s 0s 0s 0s 0s
1.82617e-07 1s 1s 0s 1s 1s 1s 1s 1s
1.83105e-07 1s 1s 0s 1s 1s 1s 1s 0s
1.83594e-07 1s 1s 0s 1s 1s 1s 1s 0s
1.84082e-07 1s 1s 0s 1s 1s 1s 0s 1s
1.8457e-07 1s 1s 0s 1s 1s 1s 0s 1s
1.85059e-07 1s 1s 0s 1s 1s 1s 0s 0s
1.85547e-07 1s 1s 0s 1s 1s 1s 0s 0s
1.86035e-07 1s 1s 0s 1s 1s 0s 1s 1s
1.86523e-07 1s 1s 0s 1s 1s 0s 1s 1s
1.87012e-07 1s 1s 0s 1s 1s 0s 1s 0s
1.875e-07 1s 1s 0s 1s 1s 0s 1s 0s
1.87988e-07 1s 1s 0s 1s 1s 0s 0s 1s
1.88477e-07 1s 1s 0s 1s 1s 0s 0s 1s
1.88965e-07 1s 1s 0s 1s 1s 0s 0s 0s
1.89453e-07 1s 1s 0s 1s 0s 1s 1s 1s
1.89941e-07 1s 1s 0s 1s 0s 1s 1s 1s
1.9043e-07 1s 1s 0s 1s 0s 1s 1s 0s
1.90918e-07 1s 1s 0s 1s 0s 1s 1s 0s
1.91406e-07 1s 1s 0s 1s 0s 1s 0s 1s
1.91895e-07 1s 1s 0s 1s 0s 1s 0s 1s
1.92383e-07 1s 1s 0s 1s 0s 1s 0s 0s
1.92871e-07 1s 1s 0s 1s 0s 0s 1s 1s
1.93359e-07 1s 1s 0s 1s 0s 0s 1s 1s
1.93848e-07 1s 1s 0s 1s 0s 0s 1s 0s
1.94336e-07 1s 1s 0s 1s 0s 0s 1s 0s
1.94824e-07 1s 1s 0s 1s 0s 0s 0s 1s
1.95312e-07 1s 1s 0s 1s 0s 0s 0s 0s
1.95801e-07 1s 1s 0s 1s 0s 0s 0s 0s
1.96289e-07 1s 1s 0s 0s 1s 1s 1s 1s
1.96777e-07 1s 1s 0s 0s 1s 1s 1s 1s
1.97266e-07 1s 1s 0s 0s 1s 1s 1s 0s
1.97754e-07 1s 1s 0s 0s 1s 1s 0s 1s
1.98242e-07 1s 1s 0s 0s 1s 1s 0s 1s
1.9873e-07 1s 1s 0s 0s 1s 1s 0s 0s
1.99219e-07 1s 1s 0s 0s 1s 0s 1s 1s
1.99707e-07 1s 1s 0s 0s 1s 0s 1s 1s
2.00195e-07 1s 1s 0s 0s 1s 0s 1s 0s
2.00684e-07 1s 1s 0s 0s 1s 0s 1s 0s
2.01172e-07 1s 1s 0s 0s 1s 0s 0s 1s
2.0166e-07 1s 1s 0s 0s 1s 0s 0s 0s
2.02148e-07 1s 1s 0s 0s 1s 0s 0s 0s
2.02637e-07 1s 1s 0s 0s 0s 1s 1s 1s
